,DV,E1,E2,E3,E4,E5,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
1,101.6332594,0.614005642,0.948837833,-0.187523699,-1.621364718,0.598230587,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1
2,100.1504824,-2.433433602,-0.982635552,-1.442256577,-0.258948338,0.740035356,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
3,101.4297944,0.251766066,0.629413481,0.421822219,-0.554519011,-0.541171453,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
4,101.7558183,-0.515378279,0.508152033,0.433464061,-0.037003313,-0.684741558,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
5,101.5387239,-2.020885821,-0.191022428,1.973274955,-1.23721716,-1.465017512,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0
6,100.139925,0.295288185,-1.004094063,-0.743963286,-0.710712544,-0.862957994,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1
7,100.9177671,1.44772441,0.184447365,0.515572102,-0.378224808,-0.50826969,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1
8,100.6200317,0.450270455,0.348064211,0.043261086,0.353452828,0.512768285,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0
9,101.1989488,-0.176039768,0.471943516,-0.103944883,-0.297707704,0.194487415,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
10,100.4342407,-2.194911288,-2.783253667,1.56250175,-0.964262882,-1.096839041,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0
11,100.9626341,0.74039466,-1.128945559,-1.799976784,0.047841717,-0.153079052,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
12,101.7041726,0.684465571,1.455908358,-0.509173896,0.121411461,-1.867829839,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
13,100.4810736,0.0049106,1.853815623,0.713366635,-0.642758506,1.763440215,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0
14,100.8567926,1.17347082,0.688273069,0.091863465,-0.100634694,0.491410349,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0
15,98.70387966,-0.946490807,-0.834037159,-0.081426567,0.729294523,0.324545506,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1
16,102.0983287,-0.743895366,0.868101148,1.280725941,0.311071811,-0.577397209,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
17,102.8923867,1.046351311,1.049498107,0.276671784,-0.509510173,0.385434046,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1
18,102.0300368,1.315910872,0.977662802,0.752226657,0.083004747,-1.115259043,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1
19,102.769976,-0.428313916,0.330000204,0.921758697,-1.538243201,1.600836676,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0
20,99.40474936,-0.815281678,-0.617486959,0.665632275,-2.025059467,0.072413622,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0
21,101.3580749,-1.220923324,0.336573692,0.860803908,-1.360336058,1.601472205,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
22,102.7384545,0.184249031,0.037085059,-0.303868484,-0.540220212,-1.660413607,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1
23,106.3117019,-0.285036936,1.702947763,1.218523532,-0.250144086,0.672929629,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0
24,101.6361565,0.302212711,0.16509414,0.783306132,1.73102011,0.029481738,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1
25,99.54626914,0.356765287,-0.418422746,0.015419335,-1.375790967,1.089163236,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0
26,106.8002821,-2.13822646,1.711313084,-1.075823289,-1.311950787,-0.755369026,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1
27,103.6441948,0.579577774,-0.205477543,1.787313108,0.5179014,-1.218453292,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
28,103.1658816,-0.291827691,2.568486338,1.021681046,-0.632204466,-1.961829951,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
29,99.31191087,-0.577368617,-3.224028752,0.998349128,0.280586374,-1.077423381,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
30,99.68992983,0.735993296,-0.77650155,0.475257884,-0.538043917,-0.191814862,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
31,101.4651038,0.068168405,-0.64569257,1.198919089,-0.160576811,0.17827613,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0
32,102.1479536,-0.150569843,1.558002764,-0.329563902,1.554294993,1.979562641,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0
33,107.6869993,0.235338828,0.858856027,1.49594494,-1.004059663,-0.224040257,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0
34,101.9225226,0.020310193,-1.957129978,0.473691977,0.542169512,0.830440791,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1
35,102.4235224,0.111520292,0.099641607,0.946225654,-0.189466052,0.348697306,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
36,100.810941,-1.38611308,1.253733501,-0.123402397,-0.642572555,-1.499927299,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1
37,97.94149136,-0.456703422,-0.297953548,-2.179197953,-1.20011838,1.591043989,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0
38,101.7639121,1.213837065,-0.025910059,-0.530565254,0.175152946,0.302449527,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
39,110.0373082,0.522643893,1.119777942,0.176164885,-0.743988744,-1.292551769,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
